WnvPresent,WeekofYear,Sunrise,CULEX PIPIENS,Month,CULEX RESTUANS,DewPoint,Longitude,Tavg,year,ResultSpeed,Station,CULEX TERRITANS,Latitude,CULEX SALINARIUS,StnPressure,CULEX PIPIENS/RESTUANS,CULEX TARSALIS,PrecipTotal,ResultDir,CULEX ERRATICUS,Rela_Humidity,Daylight_Hours
0,22,421,0,5,0,58,-87.800991,74.0,2007,5.8,1,0,41.95469,0,29.39,1,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,1,58,-87.800991,74.0,2007,5.8,1,0,41.95469,0,29.39,0,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,1,58,-87.769279,74.0,2007,5.8,1,0,41.994991,0,29.39,0,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,0,58,-87.824812,74.0,2007,5.8,1,0,41.974089,0,29.39,1,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,1,58,-87.824812,74.0,2007,5.8,1,0,41.974089,0,29.39,0,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,1,58,-87.666455,74.0,2007,5.8,1,0,41.9216,0,29.39,0,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,1,58,-87.65449100000001,74.0,2007,5.8,1,0,41.891118,0,29.39,0,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,1,58,-87.655232,74.0,2007,5.8,1,0,41.896282,0,29.39,0,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,0,58,-87.694259,74.0,2007,5.8,1,0,41.919343,0,29.39,1,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,0,58,-87.632085,74.0,2007,5.8,1,0,41.921965,0,29.39,1,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,1,58,-87.632085,74.0,2007,5.8,1,0,41.921965,0,29.39,0,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,0,58,-87.61156,74.0,2007,5.8,1,0,41.891126,0,29.39,1,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,1,58,-87.61156,74.0,2007,5.8,1,0,41.891126,0,29.39,0,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,0,58,-87.795585,74.0,2007,5.8,1,0,41.999129,0,29.39,1,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,0,58,-87.68776899999999,74.0,2007,5.8,1,0,42.01743,0,29.39,1,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,1,58,-87.760886,74.0,2007,5.8,1,0,41.907645,0,29.39,0,0,0.0,18,0,64.09056803636842,14.96
0,22,421,0,5,0,59,-87.654224,77.0,2007,5.8,2,0,41.867108,0,29.44,1,0,0.0,16,0,62.3781212841855,14.96
0,22,421,0,5,1,59,-87.654224,77.0,2007,5.8,2,0,41.867108,0,29.44,0,0,0.0,16,0,62.3781212841855,14.96
0,22,421,0,5,0,59,-87.676709,77.0,2007,5.8,2,0,41.688324,0,29.44,1,0,0.0,16,0,62.3781212841855,14.96
0,22,421,0,5,1,59,-87.676709,77.0,2007,5.8,2,0,41.688324,0,29.44,0,0,0.0,16,0,62.3781212841855,14.96
0,22,421,0,5,1,59,-87.64886,77.0,2007,5.8,2,0,41.862292,0,29.44,0,0,0.0,16,0,62.3781212841855,14.96
0,22,421,0,5,1,59,-87.666014,77.0,2007,5.8,2,0,41.720848,0,29.44,0,0,0.0,16,0,62.3781212841855,14.96
0,22,421,0,5,1,59,-87.677512,77.0,2007,5.8,2,0,41.731922,0,29.44,0,0,0.0,16,0,62.3781212841855,14.96
0,22,421,1,5,0,59,-87.677512,77.0,2007,5.8,2,0,41.731922,0,29.44,0,0,0.0,16,0,62.3781212841855,14.96
0,22,421,0,5,1,59,-87.649642,77.0,2007,5.8,2,0,41.732984,0,29.44,0,0,0.0,16,0,62.3781212841855,14.96
0,23,417,0,6,0,48,-87.800991,56.0,2007,5.2,1,0,41.95469,0,29.1,1,0,0.42,5,0,67.8701990341653,15.06
0,23,417,0,6,1,48,-87.800991,56.0,2007,5.2,1,0,41.95469,0,29.1,0,0,0.42,5,0,67.8701990341653,15.06
0,23,417,1,6,0,48,-87.800991,56.0,2007,5.2,1,0,41.95469,0,29.1,0,0,0.42,5,0,67.8701990341653,15.06
0,23,417,0,6,0,48,-87.824812,56.0,2007,5.2,1,0,41.974089,0,29.1,1,0,0.42,5,0,67.8701990341653,15.06
